[Ruminococcus] lactaris
[Ruminococcus] lactaris ATCC 29176
Ruminococcus sp.
[Ruminococcus] torques
[Ruminococcus] torques L2-14
Ruthenibacterium lactatiformans
Segatella copri
Slackia exigua
Streptococcus anginosus
Streptococcus gordonii
Streptococcus oralis
Streptococcus parasanguinis
Streptococcus salivarius
Streptococcus sanguinis
Sutterella wadsworthensis
Thomasclavelia ramosa
Tractidigestivibacter scatoligenes
Veillonella atypica
Veillonella dispar
Veillonella parvula
